,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,X,G,N,N,C,F,M,S,S,B,B,Q,P,D,T,W,Z,L,R,R,V,V,J,X,X,H,K,K,G,G,N,N,C,C,F,M,M,S,S,B,T,Q
1,G,M,J,J,K,K,D,N,N,G,C,C,T,S,L,R,R,X,W,W,P,P,H,H,Z,Z,B,F,V,Q,M,M,J,K,K,D,N,N,G,C,X,T
2,T,W,W,N,N,J,P,V,D,G,C,C,X,X,Q,B,B,M,M,L,T,S,F,F,K,Z,Z,H,R,W,N,N,J,J,P,V,V,D,G,C,F,C
3,X,V,V,D,N,B,P,P,Z,G,G,Q,M,M,X,X,S,H,H,K,K,L,J,J,W,W,F,F,C,C,T,R,V,D,N,B,P,Z,Z,G,N,Q
4,J,C,S,S,Z,D,F,V,V,M,W,W,T,T,K,K,X,B,P,P,Q,G,G,L,L,J,J,H,R,N,C,C,S,Z,D,F,F,V,M,M,M,W
5,V,K,X,X,D,D,C,C,P,P,F,F,J,J,N,H,L,G,G,W,W,M,M,B,Z,R,Q,T,V,S,S,K,K,X,D,C,P,F,J,J,B,N
6,H,R,S,S,V,J,J,H,B,W,W,M,P,N,N,Z,Z,G,Q,Q,L,K,X,X,F,D,C,T,R,R,S,S,V,J,H,B,B,W,W,M,J,M
7,B,S,Q,Q,K,H,W,X,J,F,F,D,D,B,B,R,T,T,G,L,M,Z,Z,C,V,V,P,P,N,S,S,Q,K,H,H,W,W,X,J,J,B,F
8,R,V,B,B,L,C,H,H,F,K,J,D,D,Z,G,T,T,N,N,P,W,W,X,M,M,R,R,Q,Q,S,S,V,B,L,C,H,H,F,K,J,N,J
9,L,X,W,W,N,D,P,P,V,V,H,M,K,K,S,T,T,R,R,L,J,C,C,Z,Z,G,G,Q,B,B,F,F,X,W,N,D,P,V,V,H,Z,M
10,N,Q,X,G,G,V,V,Z,S,S,C,M,M,J,J,F,K,K,D,T,T,L,L,R,R,W,H,P,B,B,N,Q,X,G,V,V,Z,Z,S,C,V,M
11,B,T,G,G,K,F,X,X,D,D,H,N,N,Z,L,M,V,B,B,P,C,C,R,R,Q,J,S,S,W,T,G,G,K,F,F,X,D,D,H,H,R,N
12,C,L,L,S,D,B,B,F,F,R,N,V,Z,M,K,K,H,H,T,C,C,P,P,J,G,G,X,Q,Q,W,L,L,S,D,B,F,R,N,N,V,Q,V
13,V,S,N,N,P,C,K,K,G,G,B,B,J,L,W,Z,Z,D,V,F,Q,H,H,T,X,X,R,R,M,M,S,S,N,P,C,C,K,G,B,J,H,J
14,F,Z,N,N,V,G,X,C,Q,M,M,B,T,T,H,L,D,F,S,S,R,K,W,W,J,J,P,P,Z,Z,N,N,V,V,G,X,C,C,Q,Q,C,M
15,Z,J,F,F,R,L,G,P,P,S,W,D,D,V,V,X,C,C,K,K,N,N,B,B,Z,Z,M,Q,H,H,T,J,J,F,R,L,G,P,P,S,B,W
16,P,M,M,R,H,K,L,S,S,V,F,J,D,B,Z,N,T,T,G,G,Q,Q,W,W,P,P,X,C,C,M,R,H,K,L,L,S,S,V,V,F,M,F
17,V,W,W,Z,Z,C,C,K,G,G,P,P,M,Q,J,S,S,D,H,H,N,V,F,L,R,X,X,T,T,B,W,W,Z,C,K,G,G,P,P,M,B,Q
18,J,G,X,X,W,W,R,R,V,P,Q,Q,N,M,M,L,B,S,S,T,F,H,H,C,C,D,D,J,Z,K,G,X,W,R,V,P,P,Q,Q,N,X,N
19,K,W,S,M,F,F,C,C,V,V,N,G,Q,X,H,H,T,K,K,Z,Z,D,L,L,J,J,P,R,B,W,W,S,M,F,F,C,V,V,N,N,M,G
